bbsName, bbsSysop, newLogin, TelnetAddress, bbsPort, sshPort, WebAddress, location, Modem, software
X-Bit BBS,Xbit Ops,NEW,x-bit.org,,22222,http://x-bit.org/info,"Beaverton, OR, USA",,"Synchronet"
X/84 BBS,,new,1984.ws,,,,"London, , England",,"X/84"
X65.zone BBS,,Apply,bbs.x65.zone,8888,,,"London, , England",,"Enigma 1/2"
Xibalba,NuSkooler,new,xibalba.l33t.codes,44510,44511,http://https://xibalba.l33t.codes/,"Salt Lake City, UT, USA",,"Enigma 1/2"
Yak Station BBS,,NEW,bbs.mycrowd.ca,,,,"Montreal, QC, Canada",,"Synchronet"
Zelch BBS,bo-zimmerman,,coffeemud.net,6502,,http://zimmers.net/commie/telb.html,"Round Rock, TX, USA",,"Zelch 128"
ZenBBS,,NEW,zen.kawasu.wtf,,,,"Philadelphia, PA, USA",,"Synchronet"
Zenolab,,Apply,zenolab.synchro.net,23,,,"San Juan, PR, USA",,"Synchronet"
ZeroTwo's BBS,,NEW,bbs.zerotwo.tech,,,,"Richardson, TX, USA",,"Synchronet"
Zeus BBS,,Desired Handle,192.243.111.121,2323,,,"Dallas, TX, USA",,"Mystic"
Zone BBS,,Desired Handle,zonebbs.net,23,,,"Berea, OH, USA",,"Mystic"
Zoombrau,,NEW,zoombrau.hopto.org,9223,,,"Forest Grove, OR, USA",,"Synchronet"
Zooropa BBS,,Real Name,52.4.41.44,2323,,,"Ashburn, VA, USA",,"Mystic"
Zot TWGS,,Desired Handle,tw2002.zot.org,2002,,,"Falkenstein, , Germany",,"TWGS"
Zruspa's BBS,,NEW,bbs.zruspas.org,23,,,"Madrid, , Spain",,"Synchronet"
